rowid,state,confirmed,recovered,dead,active
1,Andaman and Nicobar Islands,11,10,0,1
2,Andhra Pradesh,503,16,9,478
3,Arunachal Pradesh,1,0,0,1
4,Assam,33,0,1,32
5,Bihar,70,29,1,40
6,Chandigarh,21,7,0,14
7,Chhattisgarh,33,13,0,20
8,Delhi,1561,30,30,1501
9,Goa,7,5,0,2
10,Gujarat,695,59,30,606
11,Haryana,199,34,3,162
12,Himachal Pradesh,33,13,1,19
13,Jammu and Kashmir,278,30,4,244
14,Jharkhand,27,0,2,25
15,Karnataka,277,75,11,191
16,Kerala,387,211,3,173
17,Ladakh,17,10,0,7
18,Madhya Pradesh,987,64,53,870
19,Maharashtra,2687,259,178,2250
20,Manipur,2,1,0,1
21,Meghalaya,7,0,1,6
22,Mizoram,1,0,0,1
23,Nagaland#,0,0,0,0
24,Odisha,60,18,1,41
25,Puducherry,7,1,0,6
26,Punjab,186,14,13,159
27,Rajasthan,1005,147,3,855
28,Tamil Nadu,1204,81,12,1111
29,Telengana,647,120,18,509
30,Tripura,2,0,0,2
31,Uttarakhand,37,9,0,28
32,Uttar Pradesh,735,51,11,673
32,West Bengal,213,37,7,169
