rowid,state,confirmed,recovered,dead,active
1,Andaman and Nicobar,11,10,0,1
2,Andhra Pradesh,572,36,14,522
3,Arunachal Pradesh,1,0,0,1
4,Assam,35,5,1,29
5,Bihar,83,37,1,45
6,Chandigarh,21,9,0,12
7,Chhattisgarh,36,23,0,13
8,Delhi,1640,51,38,1551
9,Goa,7,6,0,1
10,Gujarat,1021,74,38,909
11,Haryana,205,43,3,159
12,Himachal Pradesh,35,16,1,18
13,Jammu and Kashmir,314,38,4,272
14,Jharkhand,29,0,2,27
15,Karnataka,353,82,13,258
16,Kerala,395,245,3,147
17,Ladakh,18,14,0,4
18,Madhya Pradesh,1308,65,57,1186
19,Maharashtra,3205,300,194,2711
20,Manipur,2,1,0,1
21,Meghalaya,9,0,1,8
22,Mizoram,1,0,0,1
23,Nagaland#,0,0,0,0
24,Odisha,60,19,1,40
25,Puducherry,7,1,0,6
26,Punjab,186,27,13,146
27,Rajasthan,1131,164,11,956
28,Tamil Nadu,1267,180,15,1072
29,Telengana,743,186,18,539
30,Tripura,2,1,0,1
31,Uttarakhand,37,9,0,28
32,Uttar Pradesh,846,74,14,758
32,West Bengal,255,51,10,194
